,batteryCurrent,batteryVoltage,latitude,longitude,overVoltageLimit,throttle,timestamp,tripId,type,underVoltageLimit,vin,wheelRpm
_XiQv3QB1qrmE6RW-L-1,0.0,67.04,12.9160456,77.626272,60.0,0.0,1600941767848.0,6,1,42.0,OKLA_OFFICE_WHITE,0.0
_niQv3QB1qrmE6RW-L-1,0.0,67.04,12.9160527,77.6262806,60.0,0.0,1600941769655.0,6,1,42.0,OKLA_OFFICE_WHITE,0.0
AHiQv3QB1qrmE6RW-MC3,0.0,67.04,12.9160509,77.6262789,60.0,0.0,1600941777207.0,6,1,42.0,OKLA_OFFICE_WHITE,0.0
AniQv3QB1qrmE6RW-MC8,0.0,67.04,12.9160527,77.6262806,60.0,0.0,1600941768338.0,6,1,42.0,OKLA_OFFICE_WHITE,0.0
A3iQv3QB1qrmE6RW-MDD,0.0,67.04,12.9160566,77.6262853,60.0,0.0,1600941773413.0,6,1,42.0,OKLA_OFFICE_WHITE,0.0
7XiQv3QB1qrmE6RWxr9t,0.0,66.93,12.9160341,77.6262726,60.0,0.0,1600941756223.0,6,1,42.0,OKLA_OFFICE_WHITE,0.0
73iQv3QB1qrmE6RWxr9u,0.0,67.04,12.9160486,77.6262748,60.0,0.0,1600941764307.0,6,1,42.0,OKLA_OFFICE_WHITE,0.0
W3gBwHQB1qrmE6RWetsF,0.0,66.93,12.9160586,77.6262845,60.0,0.0,1600949145962.0,20,1,42.0,OKLA_OFFICE_WHITE,0.0
LnhCwHQB1qrmE6RWKOYz,0.0,67.04,12.9160701,77.6261587,75.0,0.0,1600953380595.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
L3hCwHQB1qrmE6RWKOY0,0.0,67.04,12.9160681,77.6261583,75.0,0.0,1600953377546.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
NXhCwHQB1qrmE6RWKOaD,0.0,67.04,12.9160709,77.6261592,75.0,0.0,1600953369770.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
NHhCwHQB1qrmE6RWKOaD,0.0,67.04,12.9160694,77.626155,75.0,0.0,1600953367786.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
OHhCwHQB1qrmE6RWKOaF,0.0,67.04,12.9160709,77.6261592,75.0,0.0,1600953371801.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
OnhCwHQB1qrmE6RWKOaJ,0.0,67.04,12.9160709,77.6261592,75.0,0.0,1600953372761.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
PXhCwHQB1qrmE6RWKOaM,0.0,67.04,12.9160681,77.6261583,75.0,0.0,1600953376596.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
W3hCwHQB1qrmE6RWiuZk,1.44,66.81,12.9160688,77.6261577,75.0,100.0,1600953408667.0,39,1,42.0,OKLA_OFFICE_WHITE,582.0
XXhCwHQB1qrmE6RWiuZl,0.0,67.04,12.916072,77.6261605,75.0,0.0,1600953414731.0,39,1,42.0,OKLA_OFFICE_WHITE,105.0
QHhCwHQB1qrmE6RWO-a0,0.0,67.04,12.916064,77.626151,75.0,0.0,1600953389744.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
SHhCwHQB1qrmE6RWO-a9,0.0,67.04,12.916064,77.626151,75.0,0.0,1600953394793.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
TnhCwHQB1qrmE6RWYub8,3.96,66.35,12.9160688,77.6261577,75.0,95.0,1600953399552.0,39,1,42.0,OKLA_OFFICE_WHITE,94.0
bHhCwHQB1qrmE6RWsebL,0.0,66.93,12.9160674,77.6261494,75.0,0.0,1600953426606.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
IHhBwHQB1qrmE6RWxOb0,0.0,67.04,12.9160644,77.6261481,75.0,0.0,1600953358600.0,39,1,42.0,OKLA_OFFICE_WHITE,0.0
-XhMwHQB1qrmE6RW1OmF,0.0,66.93,12.9160817,77.6261354,68.0,0.0,1600954082053.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
_HhMwHQB1qrmE6RW1OmN,0.0,66.93,12.9160538,77.6261186,68.0,0.0,1600954079051.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
_3hMwHQB1qrmE6RW1OmO,0.0,67.04,12.9160547,77.6261202,68.0,0.0,1600954075227.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
