,batteryCurrent,batteryVoltage,latitude,longitude,overVoltageLimit,throttle,timestamp,tripId,type,underVoltageLimit,vin,wheelRpm
vHhMwHQB1qrmE6RWXukF,0.0,66.93,12.9160571,77.6261225,68.0,0.0,1600954063931.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
wnhMwHQB1qrmE6RWXukJ,0.0,66.93,12.9160574,77.6261266,68.0,0.0,1600954057919.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
sXhMwHQB1qrmE6RWSulb,0.0,67.04,12.9160549,77.6261197,68.0,0.0,1600954045574.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
snhMwHQB1qrmE6RWSulc,0.0,67.04,12.9160541,77.6261193,68.0,0.0,1600954047143.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
zHhMwHQB1qrmE6RWhem9,0.0,67.04,12.9160542,77.6261178,68.0,0.0,1600954064989.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
03hMwHQB1qrmE6RWhenG,0.0,66.93,12.9160542,77.6261178,68.0,0.0,1600954066300.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
oHhMwHQB1qrmE6RWIunr,0.0,66.93,12.9160545,77.6261187,68.0,0.0,1600954037701.0,42,1,54.0,OKLA_OFFICE_WHITE,0.0
_nknxXQB1qrmE6RWZZkn,0.0,66.35,12.9160288,77.6262255,68.0,0.0,1601035518045.0,54,1,54.0,OKLA_OFFICE_WHITE,0.0
AHknxXQB1qrmE6RWZZoo,0.0,66.35,12.9160321,77.6262199,68.0,0.0,1601035524041.0,54,1,54.0,OKLA_OFFICE_WHITE,0.0
BXknxXQB1qrmE6RWZZou,0.0,66.35,12.9160288,77.6262255,68.0,0.0,1601035519014.0,54,1,54.0,OKLA_OFFICE_WHITE,0.0
